名前,種別,得意練習,役割,金特_野手時,金特_投手時,金特依存,上限UP,覚醒,イベント
[バリスタ]柳生鞘花,野手+投手,打撃&球速,バウンサー,低球必打(確定)＋洗礼の一撃(不確定),精密機械(確定)＋金縛り(不確定),洗礼の一撃、金縛り : 評価(MAXで実践上確定),走力+2¶スタミナ+2,なし,後イベ
黄泉,野手+投手,筋力&コントロール,ガード,一球入魂(確定),闘魂(確定),-,肩力+2,なし,後イベ
アーサー(モンスト),野手,メンタル,ガード,昇り龍(確定)＋ヒートアップ(不確定)¶孤軍奮闘(確定),不屈の魂(確定),ヒートアップ : パワー,守備力+2,なし,前イベ
パンドラ,投手+野手,変化球&肩力,レンジャー,一発逆転王(確定)＋走力バースト(不確定),パンドラボックス(不確定)＋ドクターK(不確定)¶内無双(確定),調査中,コントロール+2¶捕球+2,なし,後イベ
ワーちゃん,野手,メンタル,ガード,情熱エール(確定)＋気迫ヘッド(不確定),ギアチェンジ(確定)＋勝利の星(不確定),気迫ヘッド : 走力(Sで担当の体感8割前後),なし,［SR］やる気効果UP50％¶［PSR］タッグボーナス40％,後イベ
パーちゃん,野手+投手,筋力&球速,ガード,アイコンタクト(確定)＋重戦車(不確定),意気揚々(確定)＋必殺火消し人(不確定),調査中,なし,［SR］タッグボーナス20％¶［PSR］精神ボーナス10,前イベ
キリル・フォスター,投手+野手,変化球&打撃,レンジャー,エースキラー(確定)＋ストレートキラー(確定),マインドブレイカー(確定)＋アームブレイカー(確定),-,パワー+4,なし,後イベ
[キング]阿麻央真,投手,スタミナ&変化球,ガード,明鏡止水(確定),エクスカリバー(不確定)＋ジャストフィット(不確定)¶鉄仮面(確定),エクスカリバー、ジャストフィット : 球速(160キロで担当の体感3割前後),球速+1,［SR］変化球ボーナス10¶［PSR］得意練習率UP20％,前イベ
明智光秀,野手,守備,レンジャー,スイープ(確定)¶高速ベースラン(確定),超尻上がり(確定)¶ギアチェンジ(確定),-,ミート+2(Lv40以上時)¶走力+2(Lv40以上時),なし,前イベ
[サンタ]小山雅,野手,メンタル,ガード,魔術師(確定)¶魔術師(確定)＋至高の遊撃手(不確定),二刀流(確定),至高の遊撃手 : 守備力(Sで担当の体感6割前後),ミート+2,なし,後イベ
郡司知将,野手,肩力,スナイパー,看破(確定),闘魂(確定),-,守備力+2,なし,後イベ
ゼンザイ,投手+野手,コントロール&走塁,バウンサー,切磋琢磨(確定)＋伝説のサヨナラ男(確定),オリジナル変化球(不確定)＋強心臓(確定)¶驚異の切れ味(確定)＋強心臓(確定),-,なし,［SR］敏捷ボーナス10¶［PSR］タッグボーナス40％,後イベ
浮見葉勘,野手,筋力,ガード,エースキラー(確定),勝利の星(確定),-,走力+2¶肩力+2,なし,前イベ
千代姫,野手,メンタル,レンジャー,牛若丸(確定)＋ホームランボール(不確定),ミスターゼロ(確定)＋勝利の星(不確定),ホームランボール、勝利の星 : 戦国高校では確定(その他では恐らく依存なし),捕球+2,なし,前イベ
番堂長児,野手,打撃,バウンサー,不動の四番(確定)¶広角砲(確定),ド根性(確定),-,ミート+2(Lv40以上時),なし,前イベ
[ミッキーマウス]八尺巫女子,投手+野手,変化球&走塁,ガード,気迫ヘッド(確定)¶孤軍奮闘(確定),原点投球(確定)¶内無双(確定),-,コントロール+2¶スタミナ+2,［SR］やる気効果UP50％¶［PSR］精神ボーナス12,後イベ
[ミニーマウス]小嵐リョウ,野手,守備,ガード,伝説のサヨナラ男(確定),先手必奪(確定),-,走力+2¶守備力+2,［SR］初期評価20¶［PSR］練習効果UP30％,前イベ
[ドナルドダック]美園千花,野手,筋力&守備,ガード,明鏡止水(確定)＋大打撃(不確定),鉄腕(確定)＋ドクターK(不確定),大打撃 : パワー(101以上で実践上確定),捕球+2¶守備力+4(PSR覚醒時),［SR］練習効果UP20％¶［PSR］守備力上限UP4,後イベ
阿久津赤光,野手+投手,走塁&変化球,バウンサー,電光石火(確定)＋高速ベースラン(不確定)¶トリックスター(確定)＋高速ベースラン(不確定),ハイスピンジャイロ(確定)＋高速ベースラン(確定),高速ベースラン : 走力(Sで担当の体感9割),ミート+2¶走力+2,なし,後イベ
[秘めたる力]神良美砂,野手,打撃&肩力,バウンサー,心眼(不確定)¶電光石火(確定),闘魂(確定),心眼 : パワー(101以上で実践上確定),ミート+2¶肩力+2,なし,後イベ
[マジカルプレイヤー]魔近ルウ,野手,筋力,ガード,火事場の馬鹿力(確定),完全燃焼(確定),-,パワー+2(Lv40以上時),なし,前イベ
[十全たる]一ノ瀬塔哉,投手,コントロール,スナイパー,なし,変幻自在(確定)¶ドクターK(確定),-,スタミナ+2,なし,前イベ
盛本雄飛,投手,変化球,バウンサー,ストライク送球(確定),怪童(確定)＋鉄仮面(不確定),鉄仮面 : ドラフト順位(1位で確定),なし,なし,前イベ
[ワイルド]納見新造,野手,メンタル,レンジャー,勝負師(確定)¶一球入魂(確定),超尻上がり(確定)¶アームブレイカー(確定),-,守備力+2¶走力+2,なし,後イベ
[エクソシスト]史門泰司,投手,スタミナ,ガード,洗礼の一撃(確定),バニシングクロス(不確定)＋必殺火消し人(不確定)¶暴れ球(確定),調査中,スタミナ+2(Lv40以上時),なし,後イベ
[ユニフォーム]片桐恋,彼女,,ガード,ストライク送球(確定),金縛り(確定),-,肩力+2¶捕球+2,［SR］初期評価20¶［PSR］イベントボーナス30％,前イベ
古賀春華,相棒,,ガード,高速レーザー(確定),マインドブレイカー(確定),-,ミート+2,なし,前イベ
雨宮ひかり,相棒,,ガード,スイープ(確定),変幻自在(確定),-,肩力+2¶コントロール+2,なし,後イベ
橘英雄,野手,筋力&打撃,レンジャー,広角砲(確定)¶代打の神様(確定),不屈の魂(確定),-,走力+2¶捕球+2 or 4(SR覚醒時),［SR］捕球上限UP2¶［PSR］初期評価30,前イベ
国見比呂,投手,変化球,レンジャー,ヒートアップ(確定),強心臓(確定)＋エースの風格(不確定),エースの風格 : コントロール(101以上で実践上確定),スタミナ+4(PSR覚醒時),［SR］得意練習率UP20％¶［PSR］スタミナ上限UP4,後イベ
本場あんこ,野手,筋力&守備,ガード,重戦車(確定)¶ホームランボール(確定),ド根性(確定)¶形勢逆転(確定),-,パワー+2,なし,後イベ
[ワールドクラス]猪狩進,野手,守備&打撃,ガード,挑発(確定)¶広角砲(確定)捕手時¶球界の頭脳(確定),なし,-,守備+2¶ミート+4(PSR覚醒時),［SR］得意練習率UP20％¶［PSR］ミート上限UP4,前イベ
戸内聖華,彼女,,ガード,ヒートアップ(確定)＋洗礼の一撃(確定),完全燃焼(確定)＋先手必奪(確定),-,なし,なし,後イベ
塚見リフター,野手,筋力&肩力,ガード,ストライク送球(確定)¶高球必打(確定),超尻上がり(確定)¶精密機械(確定),-,肩力+2,なし,後イベ
塚見巴,投手+野手,コントロール&打撃,ガード,恐怖の満塁男(確定),ハイスピンジャイロ(確定),-,肩力+2¶守備力+2,なし,前イベ
カイル・モラレス,野手,走塁&守備,ガード,走力バースト(確定),完全燃焼(確定),-,走力+2,なし,前イベ
[ワールドクラス]猪狩守,投手+野手,球速&打撃,レンジャー,アーチスト(確定),ミスターゼロ(確定),-,球速+1(Lv40以上時),［SR］技術ボーナス10,後イベ
ミンミン,野手,メンタル&肩力,レンジャー,精神的支柱(確定),驚異の切れ味(確定),-,捕球+2(Lv40以上時),なし,前イベ
カリーナ,彼女,,ガード,アイコンタクト(確定),完全制圧(確定),-,ミート+2¶コントロール+2,なし,前イベ
バーリス・ロセオ,投手,球速,バウンサー,一発逆転王(確定),鉄腕(確定)＋形勢逆転(不確定),形勢逆転 : コントロール(Sで担当の体感8割前後),なし,なし,前イベ
[織姫]土村乃夢,彼女,,ガード,トリックスター(確定),勝利の星(確定),-,肩力+2(Lv40以上時)¶スタミナ+2(Lv40以上時),なし,後イベ
[彦星]黒珠真,野手,肩力,レンジャー,勝負師(確定)¶ストライク送球(確定)¶代打の神様(確定),闘魂(確定),-,捕球+2,なし,後イベ
[ドラムメジャー]音吹奏,彼女,,ガード,低球必打(確定)＋情熱エール(確定)捕手時¶低球必打(確定)＋ミラクルボイス(確定),みなぎる活力(確定)＋ジャストフィット(確定),-,走力+2¶スタミナ+2,［SR］初期評価20¶［PSR］イベントボーナス0.3,後イベ
[マエストロ]伊能麗示,投手,変化球,レンジャー,ヒートアップ(確定)＋高速レーザー(不確定),驚異の切れ味(確定)＋精密機械(不確定),精密機械 : 変化量(総変14で担当の体感8割),なし,なし,前イベ
矢倍萌雄,野手,走塁&打撃,レンジャー,メッタ打ち(確定)¶電光石火(確定),なし,-,ミート+2(Lv40以上),なし,前イベ
[キャプテン]茂野大吾,相棒,,ガード,精神的支柱(確定),復活(確定),-,捕球+2,なし,後イベ
椛島アニータ,相棒,,ガード,ストライク送球(確定)＋一球入魂(不確定)捕手時¶バズーカ(確定)＋球界の頭脳(不確定),走者釘付(確定)＋原点投球(不確定),一球入魂、球界の頭脳 : 評価(MAXで担当の体感6割前後),なし,なし,前イベ
茂野いずみ,投手,変化球&球速,スナイパー,伝説のサヨナラ男(確定),怪童(確定)＋ドクターK(不確定),ドクターK : 球速,なし,なし,前イベ
[熱き血潮]二宮瑞穂,野手,肩力&打撃,スナイパー,孤軍奮闘(確定)捕手時¶ミラクルボイス(確定),なし,-,肩力+2(Lv40以上時),なし,後イベ
皇帝,投手,変化球,レンジャー,伝説の引っ張り屋(確定)＋広角砲(確定),速球プライド(確定)＋変化球プライド(確定)¶アーチスト(確定),-,なし,なし,前イベ
ブラック,野手,走塁&守備,レンジャー,電光石火(確定)¶牛若丸(確定),なし,-,ミート+2,なし,後イベ
神条紫杏,彼女,,スナイパー,外角必打(確定)¶アーチスト(確定),精密機械(確定)¶強心臓(確定),-,走力+2¶守備力+2,なし,後イベ
[火星オクトパス]アンヌ,投手,球速,バウンサー,伝説の引っ張り屋(確定),ディレイドアーム(確定)¶走者釘付(確定),-,コントロール+2(Lv40以上時),なし,後イベ
[パジャマ]泡瀬満里南,彼女,,ガード,つるべ打ち(確定),超尻上がり(確定),-,ミート+2¶肩力+2,なし,前イベ
小井川乃蒼,相棒,,ガード,大番狂わせ(確定),強心臓(確定),-,走力+2¶コントロール+2,なし,前イベ
黒周成穂,彼女,,スナイパー,安打製造機(確定)¶鉄人(確定),鉄腕(確定)¶アームブレイカー(確定),-,守備力+2¶スタミナ+2,なし,後イベ
オオワダ・ガクト,野手,メンタル&肩力,レンジャー,勝負師(確定)¶広角砲(確定),完全燃焼(確定)¶勝利の星(確定),-,ミート+2,なし,前イベ
アサガミ・キョウスケ,投手,球速&コントロール,バウンサー,芸術的流し打ち(確定)＋情熱エール(不確定),変幻自在(確定)＋ギアチェンジ(不確定),ギアチェンジ : 恐らく依存なし(担当の体感で6割前後),なし,なし,前イベ
サタン,投手,球速,バウンサー,火事場の馬鹿力(確定),オリジナル変化球(不確定)¶不屈の魂(確定),不明,スタミナ+2,なし,後イベ
アミティ,野手,打撃,バウンサー,勝負師(確定)¶情熱エール(確定),みなぎる活力(確定),-,肩力+2,なし,後イベ
アルル,投手,コントロール&変化球,スナイパー,伝説のサヨナラ男(確定),ばよえ〜んボール(不確定)＋勝利の星(不確定)¶強心臓(確定),不明,コントロール+2,なし,前イベ
[十二単]早川あおい,投手,変化球,レンジャー,重戦車(確定)＋走力バースト(不確定),鉄腕(確定)＋ド根性(不確定),ド根性 : スタミナ(Sで担当の体感8割前後),なし,なし,後イベ
[エプロン]夢城優花,投手,変化球,レンジャー,アーチスト(確定)¶芸術的流し打ち(確定),怪物球威(確定)¶マインドブレイカー(不確定),マインドブレイカー : 変化量,コントロール+2,［SR］得意練習率UP20％¶［PSR］技術ボーナス10,後イベ
[トレーナー]加藤理香,相棒,,ガード,安打製造機(確定)¶広角砲(確定),変幻自在(確定)¶速球プライド(確定),-,守備力+2¶スタミナ+2,なし,前イベ
[袴]友沢亮,野手,肩力&打撃,スナイパー,ストライク送球(確定)¶至高の二塁手(不確定),二刀流(確定),至高の二塁手 : 守備力(Sで担当の体感6割前後),守備力+2¶ミート+4(PSR覚醒時のみ),［SR］試合経験点ボーナス20％¶［PSR］ミート上限UP4,後イベ
社長,野手,筋力&打撃,レンジャー,一発逆転王(不確定)¶大打撃(確定),強心臓(確定),一発逆転王 : パワー(Sで担当の体感8割前後),パワー+2,なし,前イベ
[サンタ]佐菜あゆみ,選手兼彼女+投手,スタミナ&メンタル,ガード,なし,ジャストフィット(確定)¶怪童(確定),-,コントロール+2,なし,後イベ
[アンドロメダ]加藤京子,彼女,,ガード,スイープ(確定),ドクターK(確定),-,ミート+2¶コントロール+2,なし,後イベ
DJB-K,野手,肩力,スナイパー,アーチスト(不確定)＋広角砲(不確定),ド根性(確定),アーチスト&広角砲 : パワー(Sで担当の体感6割前後),なし,なし,後イベ
ジャベリン五十嵐,野手,走塁&打撃,バウンサー,一番槍(確定),先手必奪(確定),-,走力+2,なし,前イベ
ガジェット落合,野手,筋力&走塁,ガード,ハゲタカ(確定)¶ホームランボール(不確定),完全制圧(確定),不明,肩力+2,なし,後イベ
[好敵手]猪狩守,投手,球速&変化球,レンジャー,高球必打(確定),勇猛果敢(確定)¶カイザーライジング(不確定 : 球速依存?),カイザーライジング : 球速,球速+1,［SR］技術ボーナス10¶［PSR］やる気効果UP100％,後イベ
[バス停前]田中山太郎,野手,守備&打撃,バウンサー,メッタ打ち(確定)¶情熱エール(確定)¶至高の遊撃手(不確定),原点投球(確定),至高の遊撃手 : 恐らく依存なし(担当の体感6割前後),守備力+2,なし,後イベ
[小悪魔]橘みずき,投手,コントロール,スナイパー,明鏡止水(確定),変幻自在(確定),-,コントロール+6(PSR覚醒時),［SR］精神ボーナス10¶［PSR］コントロール上限UP4,前イベ
[フランケン]往田真威人,野手+投手,筋力&球速,ガード,アーチスト(確定)＋威圧感(野手)(不確定)¶つるべ打ち(確定)＋威圧感(野手)(不確定),怪物球威(確定),威圧感 : パワー(Sで担当の体感5割前後),ミート+4(PSR覚醒時),［SR］コツイベ率UP30％¶［PSR］ミート上限UP4,後イベ
[新怪物伝説]降谷暁,投手+野手,球速&肩力,バウンサー,逆襲(確定)＋明鏡止水(不確定),怪童(確定)＋怪物球威(不確定),怪物球威 : デッキに不動沢村がいるか(いる際は担当の体感9割),なし,なし,前イベ
[不動]沢村栄純,投手,スタミナ&変化球,ガード,エースキラー(確定)＋切磋琢磨(不確定),エースの風格(確定)＋変幻自在(不確定),変幻自在 : デッキに怪物降谷がいるか(いる際は担当の体感9割),なし,なし,後イベ
奥村光舟,野手,肩力&守備,スナイパー,読心術(不確定)¶魔術師(確定)捕手時¶球界の頭脳(確定)¶バズーカ(確定),鉄仮面(確定),読心術 : 恐らく依存なし(担当の体感で5割前後),肩力+2,なし,前イベ
由井薫,野手,メンタル&筋力,ガード,牛若丸(確定)¶広角砲(確定),二刀流(確定),-,捕球+2,なし,後イベ
[不動の四番]御幸一也,野手,守備&筋力,レンジャー,広角砲(確定),ジャストフィット(確定),-,守備力+2,なし,後イベ
[開眼]小湊春市,野手,打撃,バウンサー,安打製造機(確定)¶スイープ(確定),ギアチェンジ(確定),-,ミート+2,なし,前イベ
寺道登,野手,肩力,スナイパー,安打製造機(確定)¶至高の外野手(不確定),鉄腕(確定),至高の外野手 : 守備力(Sで担当の体感6割前後),走力+2,なし,前イベ
ロディ・ブライト,投手,スタミナ&球速,バウンサー,低球必打(確定),形勢逆転(確定)¶闘魂(確定),-,スタミナ+2,なし,前イベ
明神陽,投手+野手,球速&筋力,バウンサー,逆襲(確定),ミオストレート(不確定)＋みなぎる活力(不確定)¶強心臓(確定)＋クロスキャノン(確定),ミオストレート : 球速(160キロで担当の体感4割前後だったが4/4アプデで成功率UP),スタミナ+2¶肩力+2,なし,後イベ
天音姫恋,野手,打撃&走塁,バウンサー,エースキラー(確定)¶電光石火(確定),完全制圧(確定),-,ミート+2¶捕球+2,なし,後イベ
軍導英雄,野手,打撃,バウンサー,大打撃(不確定)¶重戦車(不確定),勇猛果敢(不確定),不明,ミート+2,なし,前イベ
沖野海里,野手,メンタル&筋力,ガード,アーチスト(確定)¶安打製造機(確定),怪童(確定)¶強心臓(確定),-,肩力+2,なし,前イベ
泡瀬満里南,彼女,,ガード,不動の四番(確定)＋祝福(不確定),不屈の魂(確定)＋意気揚々(不確定),祝福、意気揚々 : 評価？(評価MAXで担当の体感4割前後),守備力+2¶コントロール+2,なし,前イベ
梶増人,投手+野手,変化球&肩力,レンジャー,火事場の馬鹿力(確定)＋情熱エール(不確定),完全燃焼(確定)＋復活(不確定),不明,なし,なし,後イベ
館橋水奈都,野手,走塁,レンジャー,芸術的流し打ち(確定)¶切磋琢磨(確定),変幻自在(確定)¶二刀流(確定),-,走力+2,なし,後イベ
新田明男,野手,打撃&筋力,バウンサー,アーチスト(確定),走者釘付(確定),-,ミート+2,なし,後イベ
浅倉南,相棒,,ガード,挑発(確定)＋勝負師(不確定),本塁打厳禁(確定)＋エースの風格(不確定),エースの風格 : 公式戦勝利数(甲子園優勝で実践上確定),なし,なし,後イベ
上杉達也,投手,スタミナ&球速,ガード,一発逆転王(確定),ジャストフィット(確定)＋勝利の星(不確定),勝利の星 : 球速(160キロで担当の体感6割前後),なし,なし,前イベ
[マンボ]熱盛宗厚,投手+野手,コントロール&打撃,レンジャー,安打製造機(確定)¶昇り龍(確定),オリジナル変化球(不確定)¶ド根性(確定),不明,ミート+2¶コントロール+2,なし,前イベ
野球マン5号,野手,メンタル&守備,バウンサー,走力バースト(確定),勇猛果敢(確定),-,ミート+2,なし,後イベ
七瀬はるか,彼女,,ガード,芸術的流し打ち(確定)¶読心術(確定),本塁打厳禁(確定)¶ハイスピンジャイロ(確定),-,スタミナ+2,なし,後イベ
照守亜珠美,彼女,,バウンサー,一球入魂(確定),闘魂(確定),-,パワー+2,なし,後イベ
ミッキー・バーミリオン,野手,走塁&守備,ガード,一番槍(確定)¶トリックスター(確定),なし,-,ミート+2,なし,後イベ
[おやすみ]須々木清吾,野手,メンタル&守備,ガード,読心術(不確定),不屈の魂(確定),読心術 : 評価？(評価MAXで担当の体感9割),守備力+2,なし,後イベ
深見和仁,投手,スタミナ&コントロール,レンジャー,内角必打(確定),強心臓(確定),-,スタミナ+2,なし,前イベ
佐菜あゆみ,選手兼彼女+投手,メンタル,バウンサー,左キラー(野手)(確定),左キラー(投手)(確定)¶先手必奪(確定),-,コントロール+2,なし,後イベ
立花音美,相棒,,スナイパー,帰巣本能(確定),原点投球(確定),-,ミート+2,なし,後イベ
立花走一郎,野手,肩力&守備,レンジャー,精神的支柱(不確定)捕手時¶球界の頭脳(確定),ジャストフィット(確定),精神的支柱 : 守備力(Sで担当の体感6割前後),肩力+2,なし,前イベ
立花投馬,投手+野手,球速&筋力,ガード,伝説のサヨナラ男(確定),アームブレイカー(不確定)¶必殺火消し人(確定),アームブレイカー : 球速(160キロで担当の体感5割前後),コントロール+2¶ミート+2,なし,後イベ
[王子]冴木創,野手,メンタル&打撃,バウンサー,逆襲(確定)¶アイコンタクト(確定),先手必奪(確定)¶形勢逆転(確定),-,捕球+2,なし,後イベ
[そよ風]阿畑やすし,投手,変化球,レンジャー,なし,変化球プライド(確定)＋鉄腕(不確定)¶オリジナル変化球(確定),不明,なし,なし,前イベ
トキ,野手,守備,ガード,芸術的流し打ち(確定),変幻自在(確定),-,守備力+2,なし,後イベ
ジャギ,野手,走塁,レンジャー,祝福(確定)＋電光石火(不確定),鉄仮面(確定),電光石火 : 評価？(評価MAXで担当の体感4割前後),走力+4(PSR覚醒時のみ),［SR］筋力ボーナス10¶［PSR］走力上限UP4,前イベ
リン,相棒,,ガード,アーチスト(確定),みなぎる活力(確定),-,捕球+4(PSR覚醒時のみ),［SR］初期評価20¶［PSR］捕球上限UP4,後イベ
サウザー,投手,変化球,レンジャー,情熱エール(確定),復活(確定)＋天翔十字鳳(不確定)¶鉄腕(確定)＋天翔十字鳳(不確定),天翔十字鳳 : 変化量(総変14で担当の体感6割前後),コントロール+6(PSR覚醒時のみ),［SR］やる気効果UP100％¶［PSR］コントロール上限UP6,後イベ
ラオウ,投手,スタミナ&球速,ガード,不動の四番(確定),怪童(確定)¶エースの風格(確定),-,スタミナ+6(PSR覚醒時のみ),［SR］やる気効果UP100％¶［PSR］スタミナ上限UP6,前イベ
トラッキー,相棒,,ガード,牛若丸(確定),不屈の魂(確定),-,なし,なし,前イベ
[エプロン]泊方明日音,選手兼彼女+投手,スタミナ,ガード,一発逆転王(確定),ギアチェンジ(確定),-,なし,なし,後イベ
[二刀流]十六夜瑠菜,投手+野手,変化球&筋力,バウンサー,エースキラー(確定),勇猛果敢(確定)¶必殺火消し人(確定),-,なし,なし,前イベ
石上一心,野手,肩力,スナイパー,魔術師(確定)¶内野安打王(不確定)¶超ラッキーボーイ(確定)¶至高の三塁手(不確定),なし,至高の三塁手 : 守備力(Sで担当の体感8割前後),捕球+2,なし,後イベ
姉ヶ崎寧々,彼女,,ガード,洗礼の一撃(確定),ド根性(確定),-,捕球+2(SR以上覚醒時),［SR］捕球上限UP2¶［PSR］イベントボーナス20％,前イベ
小早川凛子,彼女,,ガード,大打撃(確定),暴れ球(確定),-,コントロール+2(SR以上覚醒時),［SR］コントロール上限UP2¶［PSR］イベントボーナス20％,後イベ
高嶺愛花,彼女,,ガード,切磋琢磨(確定),原点投球(確定),-,守備力+2(SR以上覚醒時),［SR］守備力上限UP2¶［PSR］イベントボーナス20％,前イベ
[はちまき]浪風芽衣香,野手,メンタル&打撃,レンジャー,一球入魂(確定)＋鉄人(不確定),不屈の魂(確定)＋鉄人(不確定),鉄人 : ミート(Sで担当の体感9割),なし,［SR］コツイベント率UP50％¶［PSR］やる気効果UP75％,後イベ
オクタヴィア,投手,スタミナ&変化球,ガード,逆襲(確定),完全制圧(不確定)¶オクトスモーク(不確定),オクトスモーク : 変化量(総変14で担当の体感4割前後),スタミナ+2,なし,後イベ
[サンタ]美多村知秋,投手,コントロール,バウンサー,挑発(確定)＋明鏡止水(不確定),二刀流(確定)＋みなぎる活力(不確定),-,なし,なし,後イベ
[帝王実業]猛田慶次,野手,メンタル,ガード,勝負師(不確定)＋明鏡止水(不確定),強心臓(不確定),不明,なし,［SR］タッグボーナス20％¶［PSR］やる気効果UP75％,前イベ
堂江竜河,投手,コントロール&球速,レンジャー,なし,闘魂(確定)¶怪童(確定)¶精密機械(確定),-,コントロール+2,なし,前イベ
土村乃夢,彼女,,ガード,帰巣本能(確定),ジャストフィット(確定),-,肩力+2,なし,後イベ
伍歩倫人,野手,肩力,スナイパー,勝負師(確定)＋左キラー(野手)(確定)捕手時¶球界の頭脳(確定)＋左キラー(野手)(確定),形勢逆転(確定),-,肩力+2(SR以上覚醒時),［SR］肩力上限UP2¶［PSR］タッグボーナス40％,後イベ
黒衛隆富,野手,守備,ガード,火事場の馬鹿力(確定)¶至高の二塁手(不確定),完全燃焼(確定),至高の二塁手 : 守備力(Sで担当の体感6割前後),なし,なし,前イベ
レイ,投手,コントロール,スナイパー,切磋琢磨(),驚異の切れ味(確定)＋飛燕流舞(不確定)¶驚異の切れ味(確定)＋完全燃焼(不確定),不明,コントロール+2,なし,前イベ
シン,投手,球速&変化球,バウンサー,ハゲタカ(確定),変化球プライド(確定)＋南斗千首龍撃(不確定)¶変化球プライド(確定)＋本塁打厳禁(不確定),南斗千首龍撃 : 球速(160キロで担当の体感7割前後),なし,［SR］得意練習率UP20％¶［PSR］精神ボーナス12,後イベ
ケンシロウ,野手,筋力&打撃,バウンサー,大打撃(不確定),変幻自在(確定),-,ミート+2,［SR］精神ボーナス10¶［PSR］やる気効果UP1,前イベ
黒聖良,野手,メンタル&走塁,レンジャー,牛若丸(不確定),勇猛果敢(確定),不明,肩力+2,なし,後イベ
[修羅]木場嵐士,投手,球速,レンジャー,気迫ヘッド(確定),速球プライド(確定)＋爆裂ストレート(不確定)¶速球プライド(確定)＋破裂ストレート(不確定),オリスト : 球速(160キロで担当の体感8割前後),なし,［SR］やる気効果UP50％¶［PSR］筋力ボーナス10,前イベ
[降臨]虹谷誠,投手,変化球&球速,レンジャー,一球入魂(確定),本塁打厳禁(確定)＋天使降臨(不確定)¶鉄仮面(確定)¶先手必奪(確定),天使降臨：不明,コントロール+4(SR覚醒時のみ),［SR］コントロール上限UP4¶［PSR］タッグボーナス40％,後イベ
眉村渉,相棒,,ガード,内野安打王(確定),不屈の魂(確定),-,なし,なし,後イベ
眉村道塁,相棒,,ガード,切磋琢磨(確定),速球プライド(確定),-,コントロール+2,なし,前イベ
[ユニフォーム]比良女木美々,彼女,,ガード,伝説のサヨナラ男(確定),怪物球威(確定),-,守備力+2¶コントロール+2,なし,前イベ
須神絵久,彼女,,ガード,高球必打(確定),二刀流(確定),-,コントロール+2,なし,後イベ
黒戸もね,彼女,,ガード,走力バースト(確定),走者釘付(確定),-,走力+2,なし,前イベ
[麦わら]夏野向日葵,野手,守備&肩力,スナイパー,祝福(確定)＋魔術師(不確定),意気揚々(確定),魔術師 : 恐らく依存なし(担当の体感で7割前後),守備力+4(PSR覚醒時のみ),［SR］得意練習率UP20％¶［PSR］守備力上限UP4,後イベ
[北の怪物]田中将大,投手,球速,バウンサー,高速レーザー(確定)¶一番槍(確定),怪物球威(確定)¶ミスターゼロ(確定),-,なし,［SR］得意練習率UP20％¶［PSR］コントロール上限UP4,後イベ
黒珠真,野手,肩力&筋力,レンジャー,精神的支柱(確定)¶ストライク送球(確定),なし,-,ミート+2,なし,後イベ
沢樹末璃,彼女,,レンジャー,ハゲタカ(確定)＋左キラー(野手)(確定),完全燃焼(確定)＋速球プライド(確定),-,なし,なし,後イベ
往田真威人,野手+投手,筋力&球速,バウンサー,逆襲(確定)＋アーチスト(不確定),怪童(確定),-,ミート+4(PSR覚醒時),［SR］コツイベ率UP30％¶［PSR］ミート上限UP4,後イベ
霧崎礼里,野手,走塁&打撃,レンジャー,読心術(不確定),精密機械(確定),読心術 : ミート(Sで担当の体感8割前後),捕球+2,なし,前イベ
闇野栄剛,投手,変化球,スナイパー,洗礼の一撃(確定)¶エースキラー(確定),マインドブレイカー(不確定)¶邪眼球(不確定),マインドブレイカー : スタミナ(Sで担当の体感8割前後)邪眼球 : 変化量(総変14で担当の体感4割前後),なし,なし,前イベ
[焔月輪の白虎]ハク,野手,打撃,バウンサー,孤軍奮闘(確定),みなぎる活力(不確定),-,ミート+2,［SR］タッグボーナス40％¶［PSR］試合経験点ボーナス10％,後イベ
[絶世の紅龍喚士]ソニア,野手,筋力,レンジャー,不動の四番(確定)¶アーチスト(確定),勇猛果敢(確定),-,守備力+2,［SR］得意練習率UP40¶［PSR］やる気効果UP100％,前イベ
[帽子なし]山口賢,投手,変化球,レンジャー,つるべ打ち(確定),先手必奪(確定),-,なし,なし,前イベ
[聖都の守護神]アテナ,投手,守備&変化球,ガード,切磋琢磨(確定),スターバースト(不確定)¶必殺火消し人(確定),不明,なし,［SR］コツイベント率UP40％¶［PSR］タッグボーナス20％,前イベ
峰巧成,野手,打撃,バウンサー,トリックスター(確定),金縛り(確定),-,なし,なし,後イベ
大戸ルカ,野手,メンタル&守備,ガード,火事場の馬鹿力(確定)捕手時¶鉄の壁(確定),不屈の魂(確定),-,なし,なし,前イベ
佐藤光,相棒,,ガード,アイコンタクト(確定),意気揚々(確定),-,なし,なし,前イベ
佐倉睦子,相棒,,ガード,一発逆転王(確定),形勢逆転(確定),-,なし,なし,後イベ
茂野大吾,相棒,,ガード,情熱エール(確定)捕手時¶ミラクルボイス(確定),勝利の星(確定),-,なし,なし,後イベ
夢城和花,選手兼彼女+野手+投手,肩力&コントロール,スナイパー,アイコンタクト(確定)¶精神的支柱(確定),原点投球(確定)¶先手必奪(確定),-,スタミナ+4(PSR覚醒時のみ),［SR］得意練習率UP40％¶［PSR］スタミナ上限UP4,前イベ
